name,name_english,category,price,energy,protein,fat,carbohydrates,salt,calcium,vegetable,iron,vitamin_a,vitamin_b1,vitamin_b2,vitamin_c,place_of_origin,allergic_substance,rate_good,rate_normal,rate_bad,image
チキン甘辛ステーキ,Grilled fried chicken,main_dish,374,516,29.2,22.5,46.1,3.4,39,33,1.2,66,0.13,0.33,21,鶏肉 (中国) ,egg wheat chicken soybean sesame seafood,66,4,7,https://west2-univ.jp/menu_img/png_sp/814279.png
ササミチーズタルタルソース,Fried chicken cutlet and cheese with tartarsauce,main_dish,286,449,14.4,32.7,25.6,1.9,88,33,0.6,36,0.07,0.10,15,鶏肉 (国産) チーズ (ニュージーランド、その他) ,egg wheat milk chicken soybean,123,9,33,https://west2-univ.jp/menu_img/png_sp/814012.png
ハンバーグサルサソース,Hamburg steak with salsa sauce,main_dish,286,230,15.3,11.2,16.2,1.7,50,56,1.4,37,0.15,0.14,23,鶏肉 (国産、タイ) 玉葱 (中国) ,wheat milk beef chicken soybean,1,2,2,https://west2-univ.jp/menu_img/png_sp/814129.png
豚もやし炒め,Stir fried pork and vegetables,main_dish,286,302,14.2,20.2,19.3,1.7,69,195,1.4,10,0.36,0.19,21,もやし (国産) 玉葱 (中国) 豚肉 (メキシコ) ,wheat pork soybean apple sesame,5,2,0,https://west2-univ.jp/menu_img/png_sp/814261.png
鯖塩焼き,Grilled mackerel,main_dish,242,268,15.9,22.7,0.0,0.6,7,0,0.9,42,0.13,0.33,1,鯖 (ノルウェー) ,mackerel,4,0,0,https://west2-univ.jp/menu_img/png_sp/814308.png
蒸し鶏サラダ,Steamed chicken and vegetables,sub_dish,121,47,4.8,0.7,7.0,0.2,19,60,0.3,4,0.06,0.04,18,キャベツ (国産) 鶏肉 (中国) ,egg wheat chicken soybean,1,1,0,https://west2-univ.jp/menu_img/png_sp/814490.png
春巻き,Fried pork eggroll,sub_dish,121,305,3.9,23.1,20.7,1.0,16,13,0.4,11,0.04,0.03,2,小麦粉 (国産) 竹の子 (中国、ベトナム、その他) ,wheat shrimp pork chicken soybean sesame,5,1,0,https://west2-univ.jp/menu_img/png_sp/814408.png
オクラ巣ごもり玉子,Okra and half boiled egg with soy sauce,sub_dish,99,94,7.8,6.4,3.4,0.7,60,33,1.4,108,0.06,0.25,2,鶏卵 (国産) オクラ (インドネシア) ,egg wheat mackerel soybean,646,25,18,https://west2-univ.jp/menu_img/png_sp/814447.png
ささみ枝豆ひじきサラダ,Hijiki salad with steamed chicken carrot and edamame,sub_dish,99,77,5.8,3.1,7.9,0.6,38,37,0.5,125,0.08,0.05,5,ひじき (中国、その他) 鶏肉 (中国) 枝豆 (中国) ,egg wheat chicken soybean seafood,0,0,0,https://west2-univ.jp/menu_img/png_sp/814583.png
ねぎだくもやしナムル,Boiled bean sprouts seaweed and leek with salt based sauce,sub_dish,99,39,1.5,1.8,5.0,0.7,32,57,0.3,16,0.03,0.03,7,もやし (国産) ワカメ (中国) ,sesame,2,0,0,https://west2-univ.jp/menu_img/png_sp/814411.png
だし巻き,Omlet with japanese soup,sub_dish,77,98,6.2,6.1,3.5,1.0,25,0,0.8,111,0.04,0.04,0,鶏卵 (国産、その他) ,egg wheat soybean,60,33,12,https://west2-univ.jp/menu_img/png_sp/814453.png
千切り煮,Simmered dried radish strips in Japanese soup,sub_dish,77,28,1.3,0.8,4.0,0.6,29,36,0.3,39,0.01,0.01,0,切干大根 (中国、その他) 人参 (中国、国産、その他) ,wheat milk soybean seafood,2,0,0,https://west2-univ.jp/menu_img/png_sp/814577.png
温泉玉子,Half boiled egg with soy sauce,sub_dish,55,83,7.0,6.4,0.7,0.5,30,0,1.2,88,0.03,0.22,0,鶏卵 (国産) ,egg wheat mackerel soybean,40,9,0,https://west2-univ.jp/menu_img/png_sp/814456.png
冷奴,Tofu with ginger leek,sub_dish,55,47,4.4,2.9,2.0,0.1,26,1,1.0,1,0.09,0.03,8,豆腐 (大豆：カナダ、アメリカ) ,soybean,20,10,0,https://west2-univ.jp/menu_img/png_sp/814455.png
納豆,Fermented soybeans,sub_dish,55,63,5.5,3.2,4.3,0.4,28,0,1.0,0,0.02,0.17,0,大豆 (国産) ,wheat soybean,8,2,0,https://west2-univ.jp/menu_img/png_sp/814457.png
夏のさっぱり豚汁,Japanese soup with pork vegetables and deepfried tofu,sub_dish,121,75,5.4,4.2,5.5,1.8,37,65,0.4,109,0.16,0.07,7,豚肉 (メキシコ) 大根 (国産) 人参 (国産、中国) ,wheat mackerel pork soybean,220,1,9,https://west2-univ.jp/menu_img/png_sp/814468.png
味噌汁,Miso soup,sub_dish,44,38,2.1,1.9,2.8,1.2,28,0,0.5,1,0.00,0.01,0,わかめ (中国) 油揚げ (加工地：国産) ,soybean,8,3,1,https://west2-univ.jp/menu_img/png_sp/814666.png
